"LoanID,StringID,Product,CustomerGender,Location,Region,TotalPrice,StartDate,Deposit,DailyRate,TotalDays,AmountPaid30,AmountPaid60,AmountPaid360,LoanStatus360"
"21,id_21,Product B,Male,Location 31,Region 4,16600,5/12/2014,2000,40,365,3560,4760,16200,Active"
"22,id_22,Product A,Male,Location 17,Region 3,22250,7/7/2015,4000,50,365,6200,8400,21875,Active"
"23,id_23,Product A,Male,Location 33,Region 3,19250,2/13/2016,1000,50,365,1400,2550,12700,Active"
"24,id_24,Product C,NotSpecified,Location 34,Region 1,15600,12/21/2012,1000,40,365,2240,4560,14520,Active"
"25,id_25,Product D,Female,Location 35,Region 6,20250,10/2/2013,2000,50,365,3551,4751,19101,Active"
"26,id_26,Product A,Male,Location 37,Region 4,22250,9/11/2015,4000,50,365,6300,6600,14800,Active"
"27,id_27,Product A,Female,Location 38,Region 3,19250,11/7/2015,1000,50,365,350,1750,7500,Active"
"28,id_28,Product F,Female,Location 39,Region 6,69225,4/17/2016,9000,165,365,14501,16846,64001,Active"
"29,id_29,Product D,Female,Location 40,Region 6,20250,12/14/2013,2000,50,365,5821,6821,15191,Active"
"30,id_30,Product B,Male,Location 30,Region 2,16600,5/9/2015,2000,40,365,3641,4841,16311,Active"
"31,id_31,Product B,Male,Location 41,Region 1,16600,2/24/2014,2000,40,365,3041,4231,16361,Active"
"32,id_32,Product B,Male,Location 42,Region 4,16600,8/9/2014,2000,40,365,3430,4310,16024,Active"
"33,id_33,Product A,Female,Location 22,Region 6,19250,3/7/2016,1000,50,365,-2870,-2870,1160,Active"
"34,id_34,Product B,Male,Location 43,Region 3,16600,2/22/2014,2000,40,365,3600,4800,16400,Active"
"35,id_35,Product A,Female,Location 46,Region 2,19250,2/8/2016,1000,50,365,250,850,5050,Active"
"36,id_36,Product B,Female,Location 47,Region 7,16600,7/24/2014,2000,40,365,3121,3921,12721,Active"
"37,id_37,Product B,Male,Location 50,Region 1,16600,3/24/2014,2000,40,365,2920,4200,15400,Active"
"38,id_38,Product B,Male,Location 26,Region 3,16600,2/22/2015,2000,40,365,3041,3561,9081,Active"
"39,id_39,Product C,NotSpecified,Location 52,Region 6,15600,9/13/2012,1000,40,365,2700,3500,11610,Active"
"40,id_40,Product B,Female,Location 25,Region 3,16600,10/12/2014,2000,40,365,3401,4401,16141,Active"
"41,id_41,Product B,Male,Location 17,Region 3,16600,6/27/2014,2000,40,365,3081,4601,15801,Active"
"42,id_42,Product B,Female,Location 19,Region 2,16600,2/26/2015,2000,40,365,3040,4020,9220,Active"
"43,id_43,Product A,Male,Location 53,Region 6,19250,10/17/2015,1000,50,365,-300,200,8918,Active"
"44,id_44,Product C,NotSpecified,Location 54,Region 4,15600,2/4/2013,1000,40,365,2120,3520,12010,Active"
"45,id_45,Product A,Male,Location 46,Region 2,19250,6/3/2016,1000,50,365,-2000,-550,13850,Active"
"46,id_46,Product B,Male,Location 44,Region 1,16600,5/24/2014,2000,40,365,3051,4081,11971,Active"
"47,id_47,Product B,Male,Location 39,Region 6,16600,2/20/2014,2000,40,365,4601,4601,15561,Active"
"48,id_48,Product B,Male,Location 30,Region 2,16600,5/10/2014,2000,40,365,2971,4011,8931,Active"
"49,id_49,Product D,Male,Location 56,Region 3,20250,5/17/2013,2000,50,365,3400,4800,19400,Active"
"50,id_50,Product A,Female,Location 44,Region 1,22250,6/17/2016,4000,50,365,5450,6950,21750,Active"
"51,id_51,Product B,Male,Location 57,Region 6,16600,2/7/2015,2000,40,365,3260,4460,11360,Active"
"52,id_52,Product A,Female,Location 39,Region 6,20250,12/11/2015,2000,50,365,1651,2901,13451,Active"
"53,id_53,Product D,Male,Location 59,Region 6,20250,6/9/2013,2000,50,365,3961,4961,16261,Active"
"54,id_54,Product B,Male,Location 44,Region 1,16600,4/12/2015,2000,40,365,3021,3761,11161,Active"
"55,id_55,Product B,Male,Location 60,Region 3,16600,1/5/2015,2000,40,365,3201,4561,16381,Active"
"56,id_56,Product B,Male,Location 29,Region 1,16600,3/21/2014,2000,40,365,3200,4440,11920,Active"
"57,id_57,Product B,Female,Location 44,Region 1,,8/10/2014,2000,40,365,3261,4366,7276,Active"
"58,id_58,Product B,Male,Location 61,Region 2,16600,1/12/2015,2000,40,365,3131,4331,16178,"
"59,id_59,Product B,Male,Location 62,Region 3,16600,10/25/2014,2000,40,365,3400,4280,13280,Active"
"60,id_60,Product B,Female,Location 6,Region 1,16600,6/12/2014,2000,40,365,3080,3400,9040,Active"
"61,id_61,Product A,Male,Location 23,Region 4,19250,2/12/2016,1000,50,365,1050,2150,12000,Active"
"62,id_62,Product C,NotSpecified,Location 64,Region 6,15600,11/9/2012,1000,40,365,2120,3240,10360,Active"
"63,id_63,Product C,Female,Location 65,Region 2,15600,1/24/2013,1000,40,365,2200,3400,14400,Active"
"64,id_64,Product D,Male,Location 66,Region 2,20250,7/7/2013,2000,50,365,2250,2350,2480,Active"
"65,id_65,Product B,Male,Location 23,Region 4,16600,3/6/2015,2000,40,365,3081,4241,15706,Active"
"66,id_66,Product A,Male,Location 19,Region 2,22250,8/4/2015,4000,50,365,14500,14500,21650,Active"
"67,id_67,Product A,Male,Location 50,Region 1,22250,5/27/2015,4000,50,365,5400,6950,17570,Active"
"68,id_68,Product D,Male,Location 68,Region 6,20250,4/9/2013,2000,50,365,3301,4501,14431,Active"
"69,id_69,Product A,Female,Location 61,Region 2,20250,12/17/2015,2000,50,365,1501,2901,12451,Active"
"70,id_70,Product B,Female,Location 10,Region 2,16600,11/11/2014,2000,40,365,3681,6081,16241,Active"
"71,id_71,Product C,Female,Location 64,Region 6,15600,8/7/2012,1000,40,365,2380,3300,14620,Active"
"72,id_72,Product B,Male,Location 70,Region 7,16600,9/16/2014,2000,40,365,3401,3401,12921,Active"
"73,id_73,Product B,Male,Location 72,Region 3,16600,4/17/2014,2000,40,365,4901,5101,16191,Active"
"74,id_74,Product A,Male,Location 40,Region 6,22250,4/25/2016,4000,50,365,6380,7380,17350,Active"
"75,id_75,Product A,Male,Location 20,Region 1,20750,9/14/2015,2500,50,365,2250,3600,11400,Active"
"76,id_76,Product A,Male,Location 73,Region 4,22250,9/11/2015,4000,50,365,5350,6800,17400,Active"
"77,id_77,Product A,Female,Location 20,Region 1,19250,1/31/2016,1000,50,365,800,1850,12650,Active"
"78,id_78,Product D,Male,Location 75,Region 3,20250,7/28/2013,2000,50,365,3551,4851,19801,Active"
"79,id_79,Product D,Male,Location 76,Region 2,20250,11/5/2013,2000,50,365,3481,4911,19007,Active"
"80,id_80,Product D,Female,Location 77,Region 3,20250,8/29/2013,2000,50,365,7050,7150,18300,Active"
"81,id_81,Product A,Male,Location 2,Region 2,19250,11/28/2015,1000,50,365,400,1250,8450,Active"
"82,id_82,Product B,Male,Location 4,Region 4,16600,6/10/2014,2000,40,365,4200,4590,14480,Active"
"83,id_83,Product A,Female,Location 78,Region 4,22250,6/5/2015,4000,50,365,6250,7200,20900,Active"
"84,id_84,Product D,Male,Location 79,Region 1,20250,7/22/2013,2000,50,365,3650,4950,19150,Active"
"85,id_85,Product B,Female,Location 80,Region 2,16600,3/16/2014,2000,40,365,4001,5001,16551,Active"
"86,id_86,Product A,Female,Location 25,Region 3,19250,6/3/2016,1000,50,365,-2450,-2000,1500,Active"
"87,id_87,Product A,Male,Location 11,Region 3,22250,12/6/2015,4000,50,365,6000,6550,12980,Active"
"88,id_88,Product B,Male,Location 81,Region 10,16600,4/27/2014,2000,40,365,3401,4281,10861,Active"
"89,id_89,Product A,Male,Location 82,Region 7,19250,12/21/2015,1000,50,365,100,600,2850,Active"
"90,id_90,Product B,Male,Location 32,Region 6,16600,12/23/2014,2000,40,365,2941,3621,15241,"
"91,id_91,Product A,Male,Location 84,Region 3,,5/30/2015,4000,50,365,5350,6500,14400,Active"
"92,id_92,Product D,Male,Location 34,Region 1,20250,4/22/2013,2000,50,365,3551,4051,14501,Active"
"93,id_93,Product B,Male,Location 87,Region 6,16600,10/26/2014,2000,40,365,6681,6681,15491,Active"
"94,id_94,Product B,Male,Location 17,Region 3,16600,4/15/2015,2000,40,365,3181,4271,13146,Active"
"95,id_95,Product A,Female,Location 49,Region 6,19250,8/9/2015,1000,50,365,1730,2480,13200,Active"
"96,id_96,Product B,Male,Location 53,Region 6,16600,5/11/2015,2000,40,365,3401,5056,8996,Active"
"97,id_97,Product B,Male,Location 2,Region 2,16600,6/1/2014,2000,40,365,3400,4320,13240,Active"
"98,id_98,Product A,Female,Location 47,Region 7,22250,12/25/2015,4000,50,365,5500,6800,14665,Active"
"99,id_99,Product A,Male,Location 89,Region 6,22250,7/23/2015,4000,50,365,5500,6790,21600,Active"
"100,id_100,Product B,Male,Location 90,Region 6,16600,8/30/2014,2000,40,365,3201,3201,9151,Active"
"101,id_101,Product B,Female,Location 22,Region 6,16600,2/3/2014,2000,40,365,3401,4621,13061,Active"
"102,id_102,Product A,Female,Location 22,Region 6,19250,2/29/2016,1000,50,365,-2150,-910,7010,Active"
"103,id_103,Product B,Male,Location 91,Region 6,16600,5/15/2015,2000,40,365,4601,5801,15068,Active"
"104,id_104,Product A,Male,Location 25,Region 3,22250,8/28/2015,4000,50,365,4900,5650,10100,Active"
"105,id_105,Product A,Male,Location 62,Region 3,19250,2/8/2016,1000,50,365,1900,4000,18250,Active"
"106,id_106,Product B,Male,Location 94,Region 6,16600,3/11/2014,2000,40,365,3561,4701,15851,Active"
"107,id_107,Product B,Female,Location 38,Region 3,16600,3/26/2015,2000,40,365,3181,3801,10118,Active"
"108,id_108,Product A,Male,Location 42,Region 4,19250,8/13/2015,1000,50,365,2730,3340,17575,Active"
"109,id_109,Product B,Male,Location 6,Region 1,16600,5/5/2014,2000,40,365,3001,4161,14721,Active"
"110,id_110,Product A,Female,Location 3,Region 3,22250,5/23/2015,4000,50,365,5100,5650,10700,Active"
"111,id_111,Product B,Female,Location 97,Region 5,16600,2/24/2014,2000,40,365,2841,3641,12601,Active"
"112,id_112,Product C,NotSpecified,Location 98,Region 11,15600,12/10/2012,1000,40,365,2070,3340,15216,Active"
"113,id_113,Product B,Male,Location 18,Region 7,16600,11/7/2014,2000,40,365,3441,4361,16441,Active"
"114,id_114,Product D,Male,Location 86,Region 6,20250,12/16/2013,2000,50,365,6251,7751,20201,Active"
"115,id_115,Product B,Female,Location 13,Region 6,16600,4/29/2015,2000,40,365,4600,6900,14400,Active"
"116,id_116,Product A,Female,Location 25,Region 3,19250,5/7/2016,1000,50,365,-1860,-440,12200,Active"
"117,id_117,Product A,Female,Location 6,Region 1,19250,5/6/2016,1000,50,365,-1450,0,13850,Active"
"118,id_118,Product A,Male,Location 94,Region 6,19250,11/22/2015,1000,50,365,-350,600,12200,Active"
"119,id_119,Product C,NotSpecified,Location 101,Region 9,15600,6/26/2012,1000,40,365,2100,3600,10000,Active"
"120,id_120,Product A,Male,Location 87,Region 6,22250,7/30/2015,4000,50,365,5500,6550,16600,Active"
"121,id_121,Product A,Female,Location 9,Region 6,22250,8/3/2015,4000,50,365,5400,6840,16625,Active"
"122,id_122,Product B,Male,Location 73,Region 4,16600,4/9/2014,2000,40,365,3701,5201,16151,Active"
"123,id_123,Product D,Male,Location 102,Region 6,20250,7/9/2013,2000,50,365,4000,6000,14590,Active"
"124,id_124,Product B,Male,Location 23,Region 4,16600,7/25/2014,2000,40,365,3080,4280,14400,Active"
"125,id_125,Product B,Male,Location 10,Region 2,16600,8/16/2014,2000,40,365,3121,4201,10451,Active"
"126,id_126,Product A,Male,Location 26,Region 3,20750,9/11/2015,2500,50,365,2150,2650,14750,Active"
"127,id_127,Product A,Female,Location 87,Region 6,20250,7/30/2016,2000,50,365,1950,3350,17800,"
"128,id_128,Product B,Male,Location 61,Region 2,16600,10/31/2014,2000,40,365,2960,3760,11480,Active"
"129,id_129,Product B,Male,Location 11,Region 3,16600,6/5/2014,2000,40,365,3481,4241,9781,Active"
"130,id_130,Product B,Male,Location 25,Region 3,16600,2/15/2015,2000,40,365,3501,5501,11801,Active"
"131,id_131,Product C,Male,Location 27,Region 2,15600,1/18/2013,1000,40,365,2160,3260,13740,Active"
"132,id_132,Product B,Male,Location 84,Region 3,16600,4/25/2015,2000,40,365,3761,4161,10761,Active"
"133,id_133,Product C,NotSpecified,Location 105,Region 10,15600,7/24/2012,1000,40,365,2360,3580,12200,Active"
"134,id_134,Product A,Male,Location 88,Region 7,19250,12/28/2015,1000,50,365,640,2120,14174,Active"
"135,id_135,Product D,Male,Location 106,Region 6,16600,2/17/2014,2000,40,365,3201,4331,16311,Active"
"136,id_136,Product B,Female,Location 39,Region 6,16600,3/23/2014,2000,40,365,3400,4600,16159,Active"
"137,id_137,Product D,Male,Location 41,Region 1,20250,5/18/2013,2000,50,365,3951,4951,14251,Active"
"138,id_138,Product A,Female,Location 21,Region 7,19250,2/5/2016,1000,50,365,750,2250,17250,Active"
"139,id_139,Product C,Female,Location 107,Region 2,15600,8/12/2012,1000,40,365,2120,3320,14870,Active"
"140,id_140,Product B,Female,Location 53,Region 6,16600,4/23/2015,2000,40,365,3941,3941,8201,Active"
"141,id_141,Product B,Female,Location 49,Region 6,16600,3/20/2015,2000,40,365,3040,4320,13240,Active"
"142,id_142,Product B,Male,Location 82,Region 7,16600,5/5/2014,2000,40,365,3440,4640,15820,Active"
"143,id_143,Product C,NotSpecified,Location 110,Region 6,15600,8/3/2012,1000,40,365,2100,3420,15130,Active"
"144,id_144,Product B,Male,Location 111,Region 6,16600,10/26/2014,2000,40,365,3270,4200,15890,Active"
"145,id_145,Product C,NotSpecified,Location 112,Region 2,15600,5/11/2012,1000,40,365,2320,3520,14936,Active"
"146,id_146,Product A,Female,Location 60,Region 3,19250,1/20/2016,1000,50,365,750,2750,6900,Active"
"147,id_147,Product A,Male,Location 2,Region 2,22250,3/13/2016,4000,50,365,5600,7000,21200,Active"
"148,id_148,Product A,Male,Location 111,Region 6,20250,7/14/2016,2000,50,365,1601,3101,17551,Active"
"149,id_149,Product A,Male,Location 19,Region 2,19250,10/6/2015,1000,50,365,300,850,6750,Active"
"150,id_150,Product A,Male,Location 4,Region 4,22250,10/8/2015,4000,50,365,5400,6300,18300,Active"
"151,id_151,Product B,Male,Location 113,Region 3,16600,8/21/2014,2000,40,365,3440,4580,12460,Active"
"152,id_152,Product A,Male,Location 20,Region 1,22250,11/3/2015,4000,50,365,5790,6840,13520,Active"
"153,id_153,Product E,Male,Location 10,Region 2,54625,7/22/2016,9000,125,365,12251,15626,34514,Active"
"154,id_154,Product E,Male,Location 53,Region 6,54625,1/8/2016,9000,125,365,11751,15451,26876,Active"
"155,id_155,Product B,Male,Location 84,Region 3,16600,12/18/2014,2000,40,365,2900,4480,10915,Active"
"156,id_156,Product A,Female,Location 10,Region 2,22250,3/11/2016,4000,50,365,5400,6450,16450,Active"
"157,id_157,Product A,Male,Location 39,Region 6,22250,6/8/2015,4000,50,365,5500,6900,16150,Active"
"158,id_158,Product A,Male,Location 114,Region 6,22250,12/22/2015,4000,50,365,4750,6150,13930,Active"
"159,id_159,Product A,Female,Location 60,Region 3,22250,9/3/2015,4000,50,365,6000,7000,16590,Active"
"160,id_160,Product C,NotSpecified,Location 115,Region 6,15600,7/20/2012,1000,40,365,2105,3260,13125,"
"161,id_161,Product A,Male,Location 26,Region 3,,12/21/2015,1000,50,365,800,2000,9350,Active"
"162,id_162,Product B,Female,Location 117,Region 1,16600,1/29/2015,2000,40,365,3400,4400,15900,Active"
"163,id_163,Product A,Male,Location 25,Region 3,22250,3/11/2016,4000,50,365,5300,6700,14650,Active"
"164,id_164,Product D,Female,Location 118,Region 2,20250,8/16/2013,2000,50,365,3150,4450,16995,Active"
"165,id_165,Product A,Female,Location 61,Region 2,22250,6/6/2015,4000,50,365,5050,5050,6400,Active"
"166,id_166,Product B,Male,Location 19,Region 2,16600,9/29/2014,2000,40,365,3400,4600,14560,Active"
"167,id_167,Product A,Male,Location 70,Region 7,19250,3/26/2016,1000,50,365,-2550,-2100,1100,Active"
"168,id_168,Product A,Female,Location 3,Region 3,20250,12/17/2015,2000,50,365,1500,3850,9050,Active"
"169,id_169,Product B,Female,Location 27,Region 2,16600,9/13/2014,2000,40,365,2951,3951,12341,Active"
"170,id_170,Product D,Male,Location 122,Region 5,20250,5/24/2013,2000,50,365,3451,4851,10881,Active"
"171,id_171,Product B,Male,Location 39,Region 6,16600,8/30/2014,2000,40,365,3280,4400,16290,Active"
"172,id_172,Product B,Male,Location 123,Region 6,16600,5/4/2014,2000,40,365,3041,4201,8561,Active"
"173,id_173,Product D,Male,Location 124,Region 3,20250,11/12/2013,2000,50,365,3751,5251,18521,Active"
"174,id_174,Product A,Male,Location 86,Region 6,20250,1/7/2016,2000,50,365,1581,3041,12277,Active"
"175,id_175,Product B,Female,Location 25,Region 3,16600,12/18/2014,2000,40,365,3101,4241,14621,Active"
"176,id_176,Product A,Male,Location 22,Region 6,20250,12/27/2015,2000,50,365,1851,3051,13561,Active"
"177,id_177,Product A,Male,Location 49,Region 6,19250,8/7/2015,1000,50,365,610,2265,17070,Active"
"178,id_178,Product B,Female,Location 34,Region 1,16600,5/9/2014,2000,40,365,3401,4781,16421,Active"
"179,id_179,Product A,Female,Location 113,Region 3,20750,9/4/2015,2500,50,365,2500,4100,16650,Active"
"180,id_180,Product D,Male,Location 125,Region 12,20250,10/19/2013,2000,50,365,3501,4651,16348,Active"
"181,id_181,Product A,Male,Location 58,Region 6,22250,8/31/2015,4000,50,365,5330,6750,16922,Active"
"182,id_182,Product B,Female,Location 62,Region 3,16600,8/20/2014,2000,40,365,2561,3041,7241,Active"
"183,id_183,Product A,Male,Location 26,Region 3,20250,7/16/2016,2000,50,365,850,1900,10850,Active"
"184,id_184,Product D,Male,Location 127,Region 2,20250,3/30/2013,2000,50,365,3351,5051,16551,Active"
"185,id_185,Product B,Male,Location 21,Region 7,16600,8/31/2014,2000,40,365,3290,4330,14524,Active"
"186,id_186,Product A,Female,Location 22,Region 6,20250,1/3/2016,2000,50,365,1351,2401,7551,Active"
"187,id_187,Product A,Male,Location 46,Region 2,20750,9/28/2015,2500,50,365,2050,3850,18200,Active"
"188,id_188,Product B,Female,Location 49,Region 6,16600,7/23/2014,2000,40,365,4651,4651,16451,Active"
"189,id_189,Product B,Male,Location 48,Region 6,16600,12/16/2014,2000,40,365,3400,4240,16240,Active"
"190,id_190,Product A,Male,Location 86,Region 6,22250,6/12/2015,4000,50,365,5400,6850,12150,Active"
"191,id_191,Product A,Male,Location 18,Region 7,22250,8/28/2015,4000,50,365,5500,6800,17230,Active"
"192,id_192,Product A,Female,Location 30,Region 2,22250,7/11/2015,4000,50,365,7350,9350,20600,Active"
"193,id_193,Product B,Male,Location 49,Region 6,16600,1/4/2015,2000,40,365,3261,4561,16421,"
"194,id_194,Product E,Male,Location 84,Region 3,54625,6/8/2016,9000,125,365,12501,16001,52751,Active"
"195,id_195,Product B,Male,Location 35,Region 6,16600,5/23/2014,2000,40,365,3561,5253,16323,Active"
"196,id_196,Product A,Male,Location 53,Region 6,22250,6/6/2015,4000,50,365,5400,6700,19830,Active"
"197,id_197,Product B,Male,Location 73,Region 4,16600,11/28/2014,2000,40,365,3520,4320,16000,Active"
"198,id_198,Product D,Male,Location 135,Region 1,20250,8/28/2013,2000,50,365,3601,5051,19551,Active"
"199,id_199,Product A,Female,Location 60,Region 3,22250,6/22/2016,4000,50,365,5453,5623,13443,Active"
"200,id_200,Product C,Male,Location 136,Region 6,15600,5/27/2012,1000,40,365,2080,3640,14920,Active"
"201,id_201,Product D,Male,Location 24,Region 2,20250,6/24/2013,2000,50,365,3650,5100,14400,Active"
"202,id_202,Product B,Male,Location 137,Region 6,16600,5/13/2014,2000,40,365,3701,5751,12551,Active"
"203,id_203,Product E,Male,Location 73,Region 4,54625,12/21/2015,9000,125,365,12270,16070,45745,Active"
"204,id_204,Product B,Female,Location 28,Region 7,16600,1/3/2015,2000,40,365,3491,3811,7676,Active"
"205,id_205,Product B,Female,Location 58,Region 6,16600,3/5/2014,2000,40,365,3601,4441,15691,Active"
"206,id_206,Product A,Male,Location 111,Region 6,22250,4/21/2016,4000,50,365,5230,6510,14520,Active"
"207,id_207,Product A,Female,Location 44,Region 1,19250,2/7/2016,1000,50,365,1250,2250,13800,Active"
"208,id_208,Product A,Male,Location 47,Region 7,19250,12/9/2015,1000,50,365,630,1590,14000,Active"
"209,id_209,Product A,Male,Location 21,Region 7,19250,11/14/2015,1000,50,365,1450,2750,17200,Active"
"210,id_210,Product A,Female,Location 11,Region 3,22250,6/10/2016,4000,50,365,5300,6800,18900,Active"
"211,id_211,Product C,Male,Location 138,Region 5,15600,12/31/2012,1000,40,365,3100,3700,12720,Active"
"212,id_212,Product A,Female,Location 11,Region 3,22250,9/6/2015,4000,50,365,4980,5240,12910,Active"
"213,id_213,Product C,NotSpecified,Location 139,Region 6,15600,9/24/2012,1000,40,365,2560,3680,14340,Active"
"214,id_214,Product B,Female,Location 73,Region 4,16600,5/24/2014,2000,40,365,3031,4231,15831,Active"
"215,id_215,Product A,Female,Location 32,Region 6,22250,5/30/2015,4000,50,365,5150,6400,15650,Active"
"216,id_216,Product A,Male,Location 22,Region 6,22250,3/27/2016,4000,50,365,5300,6600,18950,Active"
"217,id_217,Product B,Male,Location 140,Region 6,16600,5/10/2014,2000,40,365,3160,4440,15600,Active"
"218,id_218,Product A,Male,Location 9,Region 6,20750,9/25/2015,2500,50,365,2120,3700,17750,Active"
"219,id_219,Product A,Male,Location 3,Region 3,19250,4/23/2016,1000,50,365,-1650,50,13450,Active"
"220,id_220,Product B,Male,Location 67,Region 1,16600,4/23/2015,2000,40,365,3221,4341,15741,Active"
"221,id_221,Product B,Male,Location 141,Region 12,,3/8/2014,2000,40,365,3201,4401,14721,Active"
"222,id_222,Product B,Female,Location 17,Region 3,16600,12/27/2014,2000,40,365,3401,4241,11341,Active"
"223,id_223,Product A,Male,Location 142,Region 6,22250,9/3/2015,4000,50,365,5350,6700,14400,Active"
"224,id_224,Product A,Female,Location 45,Region 3,19250,1/1/2016,1000,50,365,350,1000,5500,Active"
"225,id_225,Product B,Male,Location 23,Region 4,16600,11/19/2014,2000,40,365,3417,4617,14457,Active"
"226,id_226,Product B,Male,Location 6,Region 1,16600,2/6/2015,2000,40,365,3401,4321,13121,Active"
"227,id_227,Product A,Male,Location 19,Region 2,19250,10/20/2015,1000,50,365,650,1700,13600,Active"
"228,id_228,Product A,Male,Location 48,Region 6,19250,4/21/2016,1000,50,365,-1900,-400,14400,Active"
"229,id_229,Product B,Male,Location 8,Region 2,16600,3/10/2014,2000,40,365,3350,4220,14490,"
"230,id_230,Product D,Male,Location 143,Region 6,20250,9/28/2013,2000,50,365,2801,3626,4676,Active"
"231,id_231,Product A,Female,Location 44,Region 1,22250,6/21/2015,4000,50,365,4760,6210,13050,Active"
"232,id_232,Product C,Male,Location 145,Region 4,15600,3/15/2013,1000,40,365,2040,3280,14980,Active"
"233,id_233,Product B,Male,Location 21,Region 7,16600,9/5/2014,2000,40,365,3120,4320,15560,Active"
"234,id_234,Product B,Male,Location 62,Region 3,16600,3/22/2014,2000,40,365,4601,4601,16071,Active"
"235,id_235,Product E,Male,Location 1,Region 1,54625,4/22/2016,9000,125,365,12476,15701,38251,Active"
"236,id_236,Product A,Male,Location 62,Region 3,19250,5/26/2016,1000,50,365,-1800,-350,12900,"
"237,id_237,Product A,Female,Location 18,Region 7,22250,6/4/2015,4000,50,365,5600,6800,18300,Active"
"238,id_238,Product B,Female,Location 6,Region 1,16600,4/23/2015,2000,40,365,3321,4501,13921,Active"
"239,id_239,Product A,Male,Location 91,Region 6,22250,6/13/2015,4000,50,365,5250,6750,8250,Active"
"240,id_240,Product A,Female,Location 25,Region 3,19250,3/28/2016,1000,50,365,-1700,-450,10300,Active"
"241,id_241,Product A,Female,Location 17,Region 3,19250,3/24/2016,1000,50,365,-1850,-50,12350,Active"
"242,id_242,Product A,Female,Location 22,Region 6,20750,9/27/2015,2500,50,365,1850,2650,11250,Active"
"243,id_243,Product A,Female,Location 29,Region 1,20750,9/17/2015,2500,50,365,1950,2730,7860,Active"
"244,id_244,Product B,Male,Location 91,Region 6,16600,4/22/2014,2000,40,365,2761,3961,10431,Active"
"245,id_245,Product B,Female,Location 25,Region 3,16600,1/9/2015,2000,40,365,3151,4441,13541,Active"
"246,id_246,Product A,Male,Location 149,Region 1,22250,10/27/2015,4000,50,365,6250,7250,21650,Active"
"247,id_247,Product B,Male,Location 9,Region 6,16600,4/23/2014,2000,40,365,3401,3931,7611,Active"
"248,id_248,Product B,Male,Location 3,Region 3,16600,7/14/2014,2000,40,365,3560,4740,14020,Active"
"249,id_249,Product B,Male,Location 21,Region 7,16600,11/1/2014,2000,40,365,3400,4600,15310,Active"
"250,id_250,Product B,Female,Location 44,Region 1,16600,8/28/2014,2000,40,365,3401,4601,10681,Active"
"251,id_251,Product C,Female,Location 152,Region 6,15600,11/1/2012,1000,40,365,2240,3340,14030,Active"
"252,id_252,Product A,Male,Location 58,Region 6,19250,11/20/2015,1000,50,365,800,2100,16020,Active"
"253,id_253,Product D,Male,Location 153,Region 6,20250,5/5/2013,2000,50,365,3800,5050,19650,Active"
"254,id_254,Product A,Female,Location 22,Region 6,22250,2/16/2016,4000,50,365,7500,7500,16210,Active"
"255,id_255,Product A,Female,Location 3,Region 3,19250,11/17/2015,1000,50,365,750,2050,15250,Active"
"256,id_256,Product A,Female,Location 3,Region 3,22250,7/22/2015,4000,50,365,5810,7280,21900,Active"
